  0-1,21,24,42,45,47      3,5,18,28,30,43         12,19,24,28,38,48
  1-7,13,28,36,43,47      6,18,19,32,46,48        3,6,8,13,44,48
  2-29,37,38,45,47,48     20,26,29,39,41,45       19,25,28,36,38,39
  3-7,25,30,44,46,47      11,17,20,25,28,39       11,15,22,29,40,48
  4-6,12,20,36,45,46      13,27,34,37,40,46       4,6,13,15,19,49
  5-20,23,36,37,47,48     1,26,32,34,38,48        2,3,34,35,42,48
  6-20,26,36,37,43,44     21,23,29,32,33,41       20,22,24,38,46,49
  7-15,19,23,26,38,49     2,12,21,22,29,35        16,23,28,31,33,43
  8-6,29,31,37,40,42      8,16,32,35,38,49        7,8,13,30,36,39
  9-9,17,20,24,26,38      23,26,28,30,31,39       8,14,17,39,42,48
 10-2,14,18,21,23,30      3,14,18,33,34,40        2,18,21,27,32,40
 11-5,8,35,36,41,46       1,22,29,37,38,42        9,12,30,35,44,48
 12-4,9,34,38,48,49       17,22,30,36,38,47       9,12,17,18,28,47
 13-2,4,5,12,23,37        2,4,13,26,31,43         3,34,35,37,38,40
 14-3,32,33,42,47,48      11,13,17,31,38,48       3,17,22,29,33,34
 15-11,28,33,42,46,47     19,21,22,31,34,38       1,8,21,25,34,48
 16-5,13,19,21,32,45      9,13,19,24,36,39        5,22,37,42,46,47
 17-3,11,16,38,43,44      8,15,17,22,31,45        7,10,24,35,36,37
 18-19,20,25,28,38,45     15,19,20,23,32,38       4,15,18,23,33,38
 19-12,17,20,36,44,49     13,15,16,25,32,37       15,27,33,35,37,43
 20-2,10,12,14,25,28      2,16,22,28,37,42        3,20,21,26,33,37
 21-10,11,18,32,35,39     19,25,29,32,43,47       4,7,13,17,24,44
 22-1,9,12,38,39,43       1,2,19,34,36,42         4,5,17,24,38,49
 23-2,5,24,32,37,40       8,12,26,35,36,46        1,21,22,31,33,47
 24-5,7,19,22,23,42       4,15,24,34,35,49        11,26,28,30,37,46
 25-21,23,28,29,30,48     7,12,18,21,29,32        1,15,18,25,36,41
 26-10,12,17,25,40,49     15,24,28,40,45,49       2,8,20,28,37,43
 27-2,11,15,23,26,39      13,16,31,41,43,46       1,17,21,32,35,39
 28-5,6,7,35,36,37        8,18,20,26,28,36        7,13,18,20,44,49
 29-3,5,18,20,30,33       1,5,10,16,23,46         2,5,24,28,31,40
 30-3,6,8,17,34,37        1,8,9,12,14,35          1,20,21,27,33,47
 31-13,19,21,33,38,45     2,6,7,14,24,35          1,5,10,36,47,48
 32-1,8,28,30,43,46       14,16,21,23,39,49       16,24,25,27,37,42
 33-8,13,16,25,34,39      5,11,27,38,44,46        2,16,26,28,29,44
 34-16,21,22,25,43,47     2,11,12,30,34,35        7,20,22,27,30,31
 35-15,16,18,32,37,42     9,26,36,40,42,44        7,8,16,32,42,45
 36-1,9,21,30,35,48       2,7,9,23,45,49          4,19,23,24,31,48
 37-3,7,9,18,41,42        3,7,10,17,33,44         1,4,7,18,27,46
 38-6,13,18,21,22,45      7,8,12,29,34,44         2,7,10,11,13,30
 39-3,10,11,13,21,36      1,3,7,12,16,30          4,9,20,30,31,39
 40-21,25,30,33,43,44     4,6,7,12,21,38          2,8,22,24,39,41
 41-12,17,21,26,43,49     7,10,16,29,45,46        3,9,29,30,37,48
 42-5,6,16,18,23,28       1,11,36,39,42,47        4,11,17,23,35,47
 43-5,9,15,29,34,49       1,2,13,15,21,44         2,11,23,26,28,30
 44-6,19,34,42,47,48      10,22,25,26,34,35       8,9,10,20,21,41
 45-6,12,23,33,40,49      3,19,34,36,37,49        1,4,16,20,48,49
 46-9,11,29,32,40,47      2,13,15,19,37,48        8,17,22,23,38,42
 47-7,25,35,42,43,47      13,21,28,42,44,45       21,34,41,42,48,49
 48-8,13,21,26,30,44      6,13,18,41,46,47        5,7,16,20,21,46
 49-3,5,10,16,18,42       13,15,19,39,41,45       1,6,7,8,36,46
 50-12,14,15,26,39,49     8,10,18,31,36,45        2,11,30,32,46,49
 51-9,12,13,24,25,39      5,8,15,21,36,48         1,11,12,14,40,46
 52-2,4,9,12,19,20        9,16,17,24,34,37        8,9,26,36,37,41
 53-11,17,20,32,33,49     3,13,37,38,43,44        2,13,28,33,34,48
 54-2,6,15,25,27,35       11,18,27,34,35,40       4,11,12,18,25,27
 55-3,8,11,13,25,42       10,25,27,28,30,40       5,11,16,22,26,32
 56-5,20,22,30,38,46      17,25,28,30,47,48       4,29,35,38,39,40
 57-15,17,20,35,38,48     15,25,27,33,36,49       14,25,35,41,44,48
 58-5,16,18,28,40,49      5,8,16,24,35,44         14,24,27,29,39,42
 59-9,12,13,35,37,40      1,5,20,34,37,38         1,18,23,34,35,39
 60-8,15,17,23,28,49      9,12,16,20,33,34        3,12,13,29,43,46
 61-1,28,30,34,41,49      1,3,9,11,12,49          3,8,18,34,39,44
 62-10,13,14,20,29,36     2,4,10,19,24,48         10,14,38,41,45,49
 63-13,17,22,25,44,46     2,9,10,18,22,46         6,10,20,29,36,44
 64-8,22,24,31,47,48      7,21,23,27,28,46        5,8,10,12,24,46
 65-4,24,27,31,45,48      1,7,11,40,43,46         4,23,34,37,43,49
 66-3,5,8,15,33,44        13,14,27,34,41,42       2,17,20,30,34,47
 67-3,20,29,30,31,34      2,5,29,33,40,43         4,16,22,30,31,39
 68-1,10,11,30,33,42      1,12,18,30,34,42        7,23,26,32,37,45
 69-28,30,33,35,44,45     9,15,16,20,36,45        6,8,12,14,16,47
 70-3,5,13,15,35,37       3,11,13,17,19,41        8,32,33,35,46,48
 71-2,13,28,29,35,44      11,19,30,35,41,46       4,6,18,27,30,43
 72-3,29,32,36,38,42      3,20,21,23,44,46        17,34,36,38,42,45
 73-6,8,21,25,33,42       8,9,10,20,28,33         4,15,21,28,44,49
 74-1,7,14,15,24,46       1,16,19,28,36,46        9,15,28,34,37,44
 75-17,25,26,35,42,46     3,4,18,35,43,48         4,11,21,33,38,46
