
1-1,16,33,34,44,46		4, 7,25,31,40,44		1,12,23,32,43,44
2-4, 8, 9,19,42,45		5,10,16,28,29,37		3,16,23,25,29,39
3-16,32,36,41,48,49		1, 8,14,15,33,47		5, 7, 8,12,25,34
4-7,18,26,27,28,29		9,16,20,27,32,35		16,17,21,22,35,46
5-4,19,23,25,29,32		8,10,17,37,41,42		12,20,23,25,33,45
6-4,17,26,36,37,47		17,30,31,33,36,40		12,15,20,36,38,46
7-5, 9,16,23,36,42		11,25,29,31,36,37		5, 9,20,33,42,43
8-4, 7, 8,14,29,33		5,13,15,17,46,47		4,17,29,31,40,47
9-23,24,28,29,35,42		4, 7,22,28,38,43		2, 4,21,22,33,49
10-7,19,30,34,37,39		17,21,28,32,42,45		12,16,19,24,39,44
11-8,13,19,33,34,44		14,16,18,27,37,44		19,24,25,28,43,48
12-4,10,20,22,25,30		22,25,39,42,45,46		2,10,13,24,25,42
13-6,15,24,29,39,41		2, 3, 8,12,43,48		4, 8,30,32,37,47
14-7, 9,11,25,30,31		20,22,25,38,42,47		9,20,25,28,39,47
15-13,14,17,29,33,36		2,16,24,33,38,49		14,16,28,32,41,44
16-1,18,26,31,35,48		8, 9,15,17,18,25		5,18,22,29,36,43
17-11,12,26,37,38,43		5, 6,22,27,31,36		13,23,27,28,33,35
18-8,10,11,15,37,39		18,26,28,29,38,39		2, 7,10,30,37,39
19-8,12,20,27,40,45		5, 7, 9,15,35,45		19,23,26,27,36,48
20-9,15,21,22,34,38		4,16,33,37,41,45		9,14,21,26,41,49
21-2, 6, 9,23,24,30		3, 6, 7,15,25,28		11,15,19,27,34,44
22-7,29,32,35,38,41		8,12,20,25,42,46		2, 5, 8,37,38,47
23-22,35,37,45,47,49		1,19,25,38,40,49		11,12,18,20,24,47
24-3, 6,13,23,29,48		5, 7,20,24,30,33		3,17,29,31,33,46
25-5, 9,29,30,34,40		1, 8,16,35,39,42		3, 7,29,30,35,41
26-19,23,24,43,45,48		3, 8,18,28,45,47		2, 5,23,29,46,49
27-1,19,25,30,34,39		3,12,18,28,37,48		3, 8,27,36,47,49
28-8,12,17,21,32,41		2, 5,37,43,44,45		3, 5,10,17,36,43
29-7,16,17,24,33,43		1,27,38,39,40,42		17,20,28,29,33,37
30-6, 8,29,30,34,35		6, 8,35,38,44,47		6, 7,14,24,25,38
31-7,16,18,30,36,38		3,24,29,36,47,48		3,12,15,33,37,46
32-3,17,25,28,29,48		1, 7,11,32,37,47		12,19,25,27,37,44
33-5,12,13,29,35,39		11,13,16,17,24,35		6,18,22,23,28,43
34-2,15,16,19,32,42		8,12,23,32,39,45		12,17,30,38,43,49
35-4,22,25,30,36,49		1, 6,12,13,37,49		7,11,23,24,28,45
36-1,10,15,17,22,27		6, 7,18,32,33,37		4,18,27,36,45,46
37-4, 7, 9,39,42,44		17,23,31,32,40,42		17,23,26,30,33,44
38-10,18,21,24,36,49		5, 8,32,41,42,44		16,17,29,34,40,49
39-2,12,23,27,41,49		13,21,23,43,46,49		7,10,21,30,38,45
40-2, 7,10,21,27,35		27,31,37,38,39,45		4,33,34,35,48,49
41-4,23,26,29,40,43		9,10,15,17,20,38		7,23,24,26,40,45
42-9,18,32,33,44,46		8, 9,11,24,37,46		8,10,18,22,25,37
43-4,24,30,32,42,46		8,17,24,27,39,42		15,34,43,44,45,46
44-17,18,32,39,40,49		12,18,24,27,34,46		2,23,29,35,36,40
45-2,11,12,24,30,49		1, 8, 9,13,25,41		3,23,30,37,39,41
46-9,17,38,39,42,47		10,21,31,39,44,48		8,14,17,19,45,48
47-7,10,11,13,15,42		9,19,23,25,36,40		3,30,34,45,46,48
48-4,15,16,25,38,40		1,20,24,32,33,36		4,22,29,32,34,47
49-6,13,24,27,28,44		4,11,24,43,44,46		7,11,12,19,38,40
50-3,14,17,23,27,28		2, 8, 9,31,37,38		2,12,24,34,43,44
51-5,23,28,33,39,43		21,23,24,27,31,34		3, 8,18,29,30,41
52-6,27,33,38,40,42		16,27,29,38,39,43		4, 6, 9,11,28,42
53-2,14,27,31,33,42		4,19,20,24,33,40		13,31,33,36,45,47
54-3,15,21,23,38,39		12,17,20,38,43,48		3, 7,21,23,28,32
55-3,13,39,40,42,44		5, 6, 9,17,20,38		4, 7,14,22,24,41
56-2,10,25,28,39,41		6, 8,14,26,40,44		5, 8,16,17,35,49
57-5,18,26,33,34,49		11,12,15,20,22,28		2, 8,10,20,23,49
58-12,18,20,26,34,35		18,19,33,41,44,49		5,16,26,28,30,31
59-13,17,19,32,40,47		4, 5,10,15,20,23		2, 6,14,25,33,47
60-15,23,33,38,39,43		2, 4, 7,31,34,39		12,19,27,39,41,44
61-1, 4,18,21,30,45		3, 7, 9,15,17,33		12,13,19,21,28,32
62-3, 7,17,21,32,48		2,13,18,26,30,32		4, 5,12,34,35,37
63-3, 6,11,12,30,45		7, 8,22,30,32,44		2, 3, 8,22,24,43
64-13,15,20,23,29,38		19,21,29,33,38,39		1,10,16,17,44,47
65-6,24,28,30,34,49		1, 2, 7,12,28,30		15,17,18,35,40,44
66-5,15,17,18,29,35		9,11,17,22,42,48		4, 9,14,23,34,39
67-22,24,28,30,32,35		14,20,28,34,45,46		5,17,22,34,37,39
68-22,32,34,35,38,42		3,26,29,36,44,45		20,23,26,37,44,49
69-3,10,17,20,44,48		8,18,28,35,43,45		3, 5,21,26,41,46
70-20,22,23,35,39,49		3,25,29,32,40,48		19,22,24,27,37,40
71-12,18,31,33,37,42		3, 4,10,31,45,47		26,30,31,34,47,48
72-14,18,22,33,40,43		6,37,38,44,46,48		3, 9,10,11,15,43
73-11,17,18,27,33,38		1, 8,10,24,28,29		1, 2,13,21,27,49
74-11,15,30,31,33,35		15,17,22,30,42,43		1, 4, 6, 9,30,43
75-7,24,32,33,40,43		5,24,32,39,41,44		3, 7, 8,20,29,34
76-5, 9,16,26,31,47		4,10,11,17,23,31		5,17,18,19,22,26
77-7,16,18,31,35,42		11,13,19,24,31,36		3,10,20,25,38,41
78-11,21,31,39,45,46		2, 8,25,28,30,37		8,15,16,33,36,47
79-2, 4,33,34,37,47		20,22,24,35,37,44		5,11,14,20,29,46
80-2, 6,17,20,25,43		4,15,27,32,37,49		6,29,30,35,44,46
81-14,22,34,42,46,48		7,14,16,26,38,49		6, 7,28,32,37,42
82-2,10,16,34,44,47		5, 7,13,24,30,43		15,17,41,42,44,45
83-13,17,25,29,33,38		5,13,17,25,34,44		1,19,26,29,30,32
