
  0-6,20,25,30,31,45		3, 9,20,23,43,49
  1-11,12,15,20,32,39		12,25,35,44,45,46
  2-3, 4,25,26,34,45		8,16,27,29,43,46
  3-13,32,34,38,44,48		2,26,28,29,31,33
  4-2, 8,21,38,42,44		2, 6,10,23,38,39
  5-6,13,14,16,32,39		12,18,19,23,29,37
  6-13,19,29,34,35,41		9,24,29,37,46,49
  7-14,23,30,33,40,44		3,29,31,34,45,49
  8-12,16,18,37,43,47		3,16,24,29,33,36
  9-5,10,13,16,33,43		1, 2, 8,16,21,33
 10-6,10,17,22,33,48		2, 6, 9,19,35,43
 11-7,10,21,34,37,38		25,26,27,32,37,43
 12-6, 8,22,29,35,41		3, 5,24,26,29,30
 13-9,21,29,34,36,40		3, 4,23,25,37,43
 14-1, 2, 5,27,38,48		3,12,16,25,26,39
 15-5,12,22,31,35,39		8,22,26,30,36,48
 16-1, 5,13,28,36,44		6, 7,13,29,42,44
 17-7,11,15,21,23,26		1,12,13,17,32,39
 18-14,24,35,37,41,46		8,11,15,16,30,33
 19-6,29,33,34,36,37		4, 6,12,25,30,38
 20-6,12,18,21,22,43		13,20,24,36,40,45
 21-1,27,29,35,39,43		7,14,20,24,26,34
 22-5, 6, 7,13,48,49		4,12,20,22,24,49
 23-4, 5,11,14,39,42		5, 9,16,35,45,48
 24-3, 9,25,29,36,38		2, 3, 8,33,47,48
 25-3, 6,13,35,42,43		5,19,21,27,41,47
 26-6, 7,11,14,22,45		1, 5,16,24,35,46
 27-11,26,30,33,44,49		13,24,30,31,45,49
 28-2, 4, 7,34,44,48		6, 9,12,38,44,48
 29-1, 5,13,18,31,40		9,12,19,22,25,26
 30-4, 7,13,15,35,44		5,12,20,29,42,49
 31-5, 6,17,22,27,40		1, 4,16,33,36,45
 32-2,14,16,27,35,44		5, 7,24,25,27,36
 33-12,21,26,35,40,46		1, 5, 7,18,27,40
 34-4,13,19,30,33,44		11,35,41,43,46,49
 35-1, 4,16,20,24,41		9,18,29,34,38,43
 36-17,22,31,34,42,47		10,15,29,37,46,48
 37-5, 7, 9,11,30,33		7,12,26,33,39,49
 38-2,12,14,38,44,49		24,35,38,39,41,43
 39-8, 9,37,40,44,48		5, 7,15,22,24,33
 40-9,12,18,39,40,43		4, 6,14,31,41,42
 41-2,12,14,30,34,42		4, 9,18,33,41,47
 42-12,27,30,39,41,49		16,17,21,24,28,40
 43-3, 4, 8, 9,24,33		4,12,15,27,35,46
 44-9,19,21,31,38,45		9,10,27,29,37,43
 45-2, 5, 7, 9,27,34		17,21,28,30,31,49
 46-6, 7,14,22,36,42		6, 9,17,23,34,35
 47-7, 8,16,22,30,49		19,21,26,40,45,46
 48-2,24,25,27,41,49		2, 4, 6,16,17,40
 49-2,12,17,25,38,48		1, 6, 8,20,32,36
 50-1,18,19,23,31,43		17,24,25,33,34,46
 51-3,12,13,27,38,43		1,10,14,28,32,35
 52-8,16,26,31,34,38		4, 5, 6,13,25,45
 53-7,13,15,24,38,40		1, 3,24,26,28,29
 54-8, 9,16,28,31,32		2, 9,12,18,37,39
 55-8,15,16,39,45,48		1, 2, 3,14,35,39
 56-12,22,25,26,35,37		21,23,32,34,37,41
 57-11,19,20,32,38,48		5,15,16,26,31,42
 58-15,17,24,27,41,46		6,13,20,33,41,42
 59-1,16,17,21,25,34		3, 9,14,19,28,42
 60-21,23,24,34,45,48		4,11,13,17,33,35
 61-2, 4, 5,11,14,29		21,31,33,43,48,49
 62-10,19,38,43,44,45		12,15,17,34,43,48
 63-14,31,32,33,44,48		15,22,31,32,38,46
 64-11,21,22,32,33,40		6,17,30,35,37,48
 65-3,13,17,40,42,48		3, 4,12,14,29,47
 66-7, 9,17,37,44,48		1, 3,16,23,28,44
 67-3,14,20,32,44,47		4,20,24,26,30,43
 68-4,17,24,27,28,46		5,11,24,27,31,49
 69-15,23,29,36,40,48		5,25,29,35,46,48
 70-14,20,35,36,44,46		2,21,31,40,41,46
 71-6, 9,16,18,19,40		18,31,32,38,40,44
 72-2, 6,13,16,24,28		5,15,37,43,45,48
 73-3,12,22,26,32,38		15,23,27,38,40,49
 74-4, 5,22,36,41,49		18,19,22,42,43,48
 75-4, 6, 8,19,23,48		2, 4,21,34,42,46
 76-3,10,13,18,40,45		11,24,25,29,46,48
 77-3,10,14,15,23,48		4,21,32,33,35,36
 78-1, 2, 3,13,34,40		15,16,25,34,36,45
 79-2, 8,40,41,45,46		8,15,16,24,25,48
 80-3, 6,13,29,39,48		3,12,17,30,33,45
 81-2, 5, 9,11,14,38		6,12,20,22,27,33
 82-1,12,27,40,41,49		2, 8,26,27,37,46
 83-1, 9,14,17,18,42		12,17,20,34,40,44
 84-7,21,23,26,44,49		2, 3,11,32,45,46
 85-1,16,35,37,44,46		6,11,29,32,36,41
 86-5, 8,15,25,34,47		1, 5,16,34,37,49
 87-9,10,13,14,47,49		7,17,28,29,34,49
 88-2, 3,30,33,35,47		13,18,29,30,32,43
 89-10,16,18,28,29,30		4,12,21,31,47,49
 90-1, 6,21,34,37,39		2, 8,14,20,22,36
 91-2,16,18,29,42,43		9,17,19,35,36,40
 92-3,15,17,21,32,46		11,14,19,30,32,48
 93-9,18,19,26,44,49		4,10,25,36,41,43
 94-5,15,30,35,36,41		5,13,20,25,26,35
 95-2,10,32,37,43,48		14,18,26,30,39,45
 96-14,38,40,43,44,47		9,13,21,29,32,46
 97-10,19,23,26,32,41		20,21,32,33,36,44
 98-15,23,27,33,34,39		5, 6,22,23,42,49
 99-8,17,18,19,35,38		1, 6, 9,20,37,45
100-2, 7,11,39,43,46		9,10,20,32,41,44
101-1,18,28,42,47,48		19,33,39,40,44,47
102-3, 5, 7,10,12,36		11,13,23,28,42,48
103-1,15,17,18,27,31		6,12,20,26,31,44

