
0- 3,10,23,25,28,31			6, 7,16,20,46,49
1- 7, 8,18,38,41,42			6,13,24,25,26,33
2- 1, 7,23,28,41,45			5,13,16,18,20,31
3- 2,10,14,22,23,45			4,28,32,39,40,48
4- 4, 9,21,27,38,46			13,20,22,23,27,29
5- 6,17,18,20,38,48			5, 9,17,19,26,39
6- 2, 9,24,29,45,47			6,13,16,23,39,45
7- 11,14,25,30,33,45			11,17,18,21,24,31
8- 1, 2,20,30,32,35			1, 9,15,22,23,33
9- 2, 4,10,29,34,47			4,14,22,28,32,37
10- 9,15,19,22,27,28			10,35,37,39,43,49
11- 15,24,28,31,32,40			1, 7,13,24,25,49
12- 8,12,14,26,27,34			3,19,20,33,34,40
13- 15,21,22,38,40,47			8,14,16,28,31,48
14- 3,20,33,43,45,47			21,29,31,34,45,48
15- 6,11,17,18,37,49			13,23,28,34,35,36
16- 2, 3,20,22,25,47			11,15,22,26,41,48
17- 2, 3, 7, 8,19,21			3, 4,12,15,30,38
18- 6,10,13,25,32,38			2,24,25,31,33,40
19- 2, 4,24,29,35,45			9,11,14,15,28,41
20- 2,25,35,39,40,47			10,15,16,27,41,47
21- 15,20,24,27,28,42			5,10,19,25,32,37
22- 14,22,24,26,29,35			4, 6,21,27,34,49
23- 5,16,18,30,43,46			7,21,22,26,37,48
24- 6,14,21,23,29,47			4, 8,15,24,36,39
25- 14,24,26,31,46,48			3,10,11,15,28,42
26-  2, 3, 9,19,29,32			3, 5,15,18,21,22
27-  4,20,35,36,37,39			9,17,19,21,38,44
28-  8,14,18,22,28,44			2, 3,24,31,40,46
29-  1,10,24,35,37,38			15,16,17,23,29,30
30-  2,11,14,18,22,25			3,11,26,28,40,44
31- 10,11,21,28,38,40			9,12,13,23,27,33
32-  5,10,21,31,35,42			11,15,23,27,33,43
33-  6,15,22,29,30,42			5,21,36,42,44,47
34- 11,36,38,40,47,48			6, 7,20,28,40,49
35-  1,12,19,20,35,38			7, 9,21,33,38,39
36-  7, 8,10,11,23,35			15,17,20,22,28,29
37-  4,10,15,25,33,45			2, 6,18,27,31,39
38-  2, 3,12,15,31,48			3,20,30,32,37,48
39- 14,18,27,29,31,39			4,15,17,23,28,48
40- 21,23,29,30,43,44			1,10,11,39,46,47
41- 11,15,27,30,31,43			3, 6,12,29,48,49
42-  1, 4, 5, 7,16,35			8,36,38,41,43,46
43-  9,19,21,33,43,47			1, 4,17,29,30,39
44- 16,18,34,39,40,41			14,25,29,31,38,39
45-  5,11,12,18,40,47			2, 7, 8,13,31,44
46-  7,10,23,37,40,43			1, 7,21,23,35,47
47-  1,16,21,22,43,49			7,17,19,36,40,41
48-  5, 7,22,24,30,34			3, 4,21,27,28,34
49-  2, 5,21,22,33,46			18,26,28,30,31,47
50-  1, 6,10,30,31,32			1,24,25,31,44,49
51- 11,13,19,34,36,40			9,18,19,25,26,41
52-  4,29,38,45,47,48			6,22,23,30,38,49
53- 18,21,23,24,38,48			4,11,19,22,24,32
54-  6,10,19,29,34,36			1, 3, 9,13,19,21
55- 10,15,17,20,40,43			5,13,27,39,42,47
56- 13,17,18,21,47,49			4, 8,12,17,32,45
57-  5,11,21,32,38,48			4,11,17,20,36,48
