1   3, 8, 21, 26, 29, 35
2   12, 19, 25, 35, 36, 38
3   2, 7, 28, 36, 39, 48
4   2, 4, 15, 25, 42, 44
5   6, 11, 22, 24, 29, 38
6   11, 13, 14, 17, 31, 42
7   9, 14, 17, 21, 26, 44
8   8, 12, 21, 37, 38, 48
9   16, 25, 26, 30, 34, 42
10  1, 3, 27, 33, 35, 37
11  5, 8, 17, 20, 35, 49
12  5, 26, 35, 43, 44, 48
13  17, 19, 24, 30, 38, 42
14  18, 21, 23, 46, 47, 49
15  10, 19, 22, 27, 40, 49
16  8, 11, 21, 28, 32, 45
17  1, 8, 13, 37, 46, 49
18  18, 21, 28, 32, 40, 46
19  3, 17, 19, 38, 42, 43
20  4, 11, 18, 26, 33, 40
21  11, 19, 23, 38, 43, 47
22  3, 9, 15, 23, 34, 42
23  8, 23, 31, 39, 45, 49
24  5, 11, 19, 23, 35, 42
25  6, 9, 24, 29, 34, 36
26  3, 16, 30, 34, 35, 36
27  13, 27, 28, 43, 45, 49
28  1, 9, 19, 27, 29, 43
29  1, 3, 7, 21, 26, 42
30  5, 16, 26, 29, 30, 34
31  6, 7, 11, 12, 25, 48
32  17, 19, 20, 40, 43, 45
33  14, 22, 25, 29, 33, 42
34  7, 13, 14, 30, 33, 46
35  1, 10, 20, 21, 34, 43
36  2, 11, 15, 37, 40, 46
37  24, 30, 33, 35, 38, 45
38  9, 25, 34, 35, 40, 42
39  1, 17, 36, 38, 42, 45
40  1, 11, 18, 23, 37, 44
41  2, 4, 35, 39, 45, 46
42  19, 28, 30, 36, 47, 48
43  6, 18, 21, 28, 37, 38
44  8, 10, 20, 22, 25, 33
45  12, 15, 17, 25, 29, 30
46  2, 4, 10, 17, 31, 45
47  8, 9, 18, 19, 34, 37
48  11, 12, 21, 35, 36, 49
49  9, 11, 15, 16, 25, 26
50  5, 7, 34, 35, 39, 49
51  3, 6, 12, 19, 35, 45
52  8, 17, 18, 25, 27, 49
53  10, 19, 37, 39, 47, 49
54  14, 15, 16, 31, 34, 44
55  18, 26, 27, 37, 44, 45
56  16, 19, 23, 37, 42, 45
57  3, 15, 17, 19, 31, 49
58  3, 6, 12, 23, 35, 39
59  10, 15, 22, 36, 37, 39
60  2, 20, 29, 32, 35, 44
61  2, 6, 9, 22, 30, 35
62  3, 12, 28, 43, 44, 45
63  9, 12, 18, 34, 44, 48
64  7, 9, 17, 19, 32, 34
65  3, 9, 13, 14, 23, 44
66  9, 10, 15, 17, 22, 37
67  23, 24, 26, 34, 40, 47
68  4, 20, 22, 27, 28, 46
69  13, 21, 32, 39, 45, 46
70  3, 7, 14, 32, 35, 44
71  6, 13, 24, 26, 31, 34
72  10, 15, 30, 34, 35, 48
73  1, 12, 16, 35, 39, 48
74  15, 19, 36, 43, 45, 46
75  11, 13, 19, 21, 44, 46
76  27, 30, 33, 34, 43, 47
77  2, 7, 14, 26, 30, 32
78  1, 8, 16, 21, 27, 41
79  2, 9, 28, 37, 39, 45
80  15, 18, 27, 35, 45, 49
81  1, 13, 17, 30, 43, 46
82  7, 17, 18, 29, 39, 46
83  3, 7, 8, 17, 27, 37
84  17, 22, 23, 28, 33, 41
85  16, 17, 22, 35, 48, 49
86  2, 16, 19, 21, 26, 28
87  6, 13, 20, 32, 36, 43
